1609459200000,0.18134000,0.18146000,0.17831000,0.17862000,9007906.10000000,1609460099999,1617997.05873200,2576,4522956.60000000,812298.02381300,0
1609460100000,0.17865000,0.17977000,0.17849000,0.17880000,4827983.80000000,1609460999999,864902.24856700,1215,2342017.00000000,419527.90600500,0
1609461000000,0.17879000,0.18017000,0.17878000,0.18008000,1885566.00000000,1609461899999,338707.73248600,751,1043809.60000000,187491.54984500,0
1609461900000,0.18005000,0.18077000,0.17963000,0.18051000,3473463.20000000,1609462799999,626119.12574400,930,1845098.80000000,332683.87094200,0
1609462800000,0.18055000,0.18168000,0.18000000,0.18118000,5265660.10000000,1609463699999,953049.61050100,2076,2667070.50000000,482808.49114900,0
1609463700000,0.18117000,0.18276000,0.18029000,0.18192000,7089140.20000000,1609464599999,1286630.46609600,2872,3731308.10000000,677282.68477300,0
1609464600000,0.18189000,0.18450000,0.18180000,0.18435000,8945697.40000000,1609465499999,1640481.76766200,3347,5665960.30000000,1039366.84089900,0
1609465500000,0.18436000,0.18469000,0.18324000,0.18358000,7301150.70000000,1609466399999,1342328.03028100,3122,3565219.90000000,655669.79920600,0
1609466400000,0.18361000,0.18448000,0.18352000,0.18406000,4770982.80000000,1609467299999,877786.60070800,1556,2665932.00000000,490479.38089500,0
1609467300000,0.18410000,0.18419000,0.18342000,0.18352000,1846835.00000000,1609468199999,339417.75391600,859,935255.70000000,171903.36657600,0
1609468200000,0.18355000,0.18469000,0.18229000,0.18427000,8042755.60000000,1609469099999,1477016.70388700,2640,4689082.50000000,861734.86197300,0
1609469100000,0.18430000,0.18473000,0.18368000,0.18368000,5414997.70000000,1609469999999,997954.85486800,1696,2668341.20000000,491938.25151200,0
1609470000000,0.18375000,0.18421000,0.18359000,0.18380000,4061450.40000000,1609470899999,746815.76901400,1113,2372789.90000000,436357.57853100,0
1609470900000,0.18379000,0.18458000,0.18370000,0.18424000,5043341.20000000,1609471799999,928756.63535800,1263,2702820.30000000,497940.96121500,0
1609471800000,0.18424000,0.18436000,0.18259000,0.18326000,4470933.50000000,1609472699999,821237.07174500,1761,2316144.40000000,425512.22315700,0
1609472700000,0.18330000,0.18359000,0.18279000,0.18292000,2128772.00000000,1609473599999,389878.23204500,1075,987267.80000000,180813.69068900,0
1609473600000,0.18299000,0.18359000,0.18280000,0.18288000,2696333.80000000,1609474499999,494042.50751500,1267,1308308.30000000,239715.62360000,0
1609474500000,0.18298000,0.18367000,0.18250000,0.18305000,3299761.30000000,1609475399999,604006.69892200,1406,1757370.60000000,321735.00868800,0
1609475400000,0.18304000,0.18336000,0.18105000,0.18173000,7879169.30000000,1609476299999,1435252.32382800,2762,3380425.90000000,615302.79284800,0
1609476300000,0.18173000,0.18221000,0.18145000,0.18180000,2463051.80000000,1609477199999,447817.51112300,1195,1321706.60000000,240353.70680000,0
1609477200000,0.18182000,0.18310000,0.18171000,0.18300000,3110294.50000000,1609478099999,567290.96801800,1374,1517333.30000000,276698.38613800,0
1609478100000,0.18301000,0.18309000,0.18210000,0.18286000,1897791.20000000,1609478999999,346449.19693800,907,995389.60000000,181685.18303100,0
1609479000000,0.18297000,0.18339000,0.18276000,0.18280000,2578543.20000000,1609479899999,472025.10020200,1288,1516405.40000000,277587.62204600,0
1609479900000,0.18280000,0.18329000,0.18274000,0.18297000,1687027.70000000,1609480799999,308748.01552400,851,821323.50000000,150307.73575400,0
1609480800000,0.18299000,0.18319000,0.18241000,0.18264000,2159443.20000000,1609481699999,394453.26366500,845,953726.20000000,174176.25773700,0
1609481700000,0.18266000,0.18271000,0.18033000,0.18039000,3779605.70000000,1609482599999,685083.86146300,1719,1537646.20000000,278835.07055800,0
1609482600000,0.18036000,0.18066000,0.17921000,0.18036000,7066760.40000000,1609483499999,1271740.45483000,2844,3095068.60000000,556960.25545600,0
1609483500000,0.18030000,0.18108000,0.18016000,0.18100000,2592080.50000000,1609484399999,468323.99083100,956,1570901.60000000,283823.34970700,0
1609484400000,0.18103000,0.18109000,0.17930000,0.17967000,3899039.90000000,1609485299999,702623.55213000,1498,1619256.90000000,291915.90697700,0
1609485300000,0.17974000,0.18089000,0.17800000,0.17839000,11515641.80000000,1609486199999,2062790.23572800,4421,4081953.10000000,731160.05498700,0
1609486200000,0.17838000,0.17907000,0.17821000,0.17898000,3571429.30000000,1609487099999,637941.53450600,2208,2019788.50000000,360833.61222700,0
1609487100000,0.17904000,0.17980000,0.17889000,0.17955000,2529530.60000000,1609487999999,453854.90572000,970,1283612.00000000,230290.21028400,0
1609488000000,0.17955000,0.18007000,0.17901000,0.17907000,2622306.80000000,1609488899999,470868.85226300,1297,1170468.10000000,210202.35007400,0
1609488900000,0.17909000,0.17919000,0.17685000,0.17717000,11515816.50000000,1609489799999,2048447.71595700,4043,4707317.50000000,837622.33765100,0
1609489800000,0.17718000,0.17917000,0.17717000,0.17759000,4630379.30000000,1609490699999,825833.13603900,2020,2701490.20000000,481731.23371700,0
1609490700000,0.17753000,0.17807000,0.17673000,0.17762000,4607603.00000000,1609491599999,817343.37707600,2319,2205692.10000000,391356.21792300,0
1609491600000,0.17766000,0.17884000,0.17718000,0.17834000,3563828.30000000,1609492499999,634765.97881200,1539,1792082.20000000,319306.56201200,0
1609492500000,0.17834000,0.17939000,0.17816000,0.17902000,2476257.20000000,1609493399999,442633.87815200,1279,1468501.00000000,262513.19119100,0
1609493400000,0.17898000,0.17962000,0.17835000,0.17878000,3051981.40000000,1609494299999,545803.36825100,1309,1530498.50000000,273865.14577800,0
